Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,4,130,3,Some Random Commen with Id 0
1,0,4,100,9,Some Random Commen with Id 1
2,0,4,111,2,Some Random Commen with Id 2
3,0,4,196,6,Some Random Commen with Id 3
4,0,4,96,7,Some Random Commen with Id 4
5,0,4,171,4,Some Random Commen with Id 5
6,0,4,56,1,Some Random Commen with Id 6
7,0,4,32,9,Some Random Commen with Id 7
8,1,7,188,6,Some Random Commen with Id 8
9,2,5,32,9,Some Random Commen with Id 9
10,2,5,115,4,Some Random Commen with Id 10
11,2,5,34,6,Some Random Commen with Id 11
12,2,5,9,2,Some Random Commen with Id 12
13,2,5,175,3,Some Random Commen with Id 13
14,2,5,96,8,Some Random Commen with Id 14
15,2,5,106,3,Some Random Commen with Id 15
16,2,5,140,6,Some Random Commen with Id 16
17,3,8,158,0,Some Random Commen with Id 17
18,3,8,194,4,Some Random Commen with Id 18
19,3,8,34,9,Some Random Commen with Id 19
20,3,8,82,2,Some Random Commen with Id 20
21,3,8,142,8,Some Random Commen with Id 21
22,4,7,86,2,Some Random Commen with Id 22
23,4,7,144,6,Some Random Commen with Id 23
24,4,7,172,5,Some Random Commen with Id 24
25,4,7,152,1,Some Random Commen with Id 25
26,4,7,28,7,Some Random Commen with Id 26
27,4,7,151,2,Some Random Commen with Id 27
28,4,7,158,2,Some Random Commen with Id 28
29,4,7,116,9,Some Random Commen with Id 29
30,5,3,190,4,Some Random Commen with Id 30
31,5,3,52,1,Some Random Commen with Id 31
32,5,3,7,3,Some Random Commen with Id 32
33,6,0,171,9,Some Random Commen with Id 33
34,7,7,113,6,Some Random Commen with Id 34
35,7,7,146,0,Some Random Commen with Id 35
36,7,7,80,3,Some Random Commen with Id 36
37,8,8,197,2,Some Random Commen with Id 37
38,8,8,191,0,Some Random Commen with Id 38
39,8,8,104,0,Some Random Commen with Id 39
40,8,8,39,2,Some Random Commen with Id 40
41,8,8,95,9,Some Random Commen with Id 41
42,8,8,181,7,Some Random Commen with Id 42
43,8,8,170,6,Some Random Commen with Id 43
44,10,0,191,2,Some Random Commen with Id 44
45,10,0,45,7,Some Random Commen with Id 45
46,10,0,17,2,Some Random Commen with Id 46
47,10,0,82,1,Some Random Commen with Id 47
48,10,0,176,6,Some Random Commen with Id 48
49,10,0,58,9,Some Random Commen with Id 49
50,10,0,90,3,Some Random Commen with Id 50
51,10,0,54,9,Some Random Commen with Id 51
52,11,2,141,5,Some Random Commen with Id 52
53,11,2,15,6,Some Random Commen with Id 53
54,11,2,198,1,Some Random Commen with Id 54
55,11,2,90,2,Some Random Commen with Id 55
56,11,2,124,1,Some Random Commen with Id 56
57,11,2,65,0,Some Random Commen with Id 57
58,11,2,66,8,Some Random Commen with Id 58
59,12,1,149,5,Some Random Commen with Id 59
60,12,1,58,8,Some Random Commen with Id 60
61,12,1,49,3,Some Random Commen with Id 61
62,12,1,132,4,Some Random Commen with Id 62
63,12,1,20,5,Some Random Commen with Id 63
64,12,1,6,2,Some Random Commen with Id 64
65,12,1,158,8,Some Random Commen with Id 65
66,12,1,63,5,Some Random Commen with Id 66
67,12,1,26,2,Some Random Commen with Id 67
68,13,8,54,8,Some Random Commen with Id 68
69,13,8,134,4,Some Random Commen with Id 69
70,13,8,54,2,Some Random Commen with Id 70
71,14,8,72,6,Some Random Commen with Id 71
72,14,8,64,6,Some Random Commen with Id 72
73,14,8,24,7,Some Random Commen with Id 73
74,14,8,25,3,Some Random Commen with Id 74
75,14,8,131,3,Some Random Commen with Id 75
76,14,8,153,6,Some Random Commen with Id 76
77,14,8,120,3,Some Random Commen with Id 77
78,14,8,40,8,Some Random Commen with Id 78
79,14,8,154,2,Some Random Commen with Id 79
